M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,5.461333,5.269226
384.000000,384.000000,384.000000,13.824000,13.824000
512.000000,512.000000,512.000000,29.127110,26.214401
640.000000,640.000000,640.000000,25.600001,32.000000
768.000000,768.000000,768.000000,49.151998,49.151998
896.000000,896.000000,896.000000,42.573575,50.175999
1024.000000,1024.000000,1024.000000,56.679781,53.773130
1152.000000,1152.000000,1152.000000,71.094858,69.040095
1280.000000,1280.000000,1280.000000,73.204132,63.015384
1408.000000,1408.000000,1408.000000,73.672645,72.690343
1536.000000,1536.000000,1536.000000,70.078101,67.408458
1664.000000,1664.000000,1664.000000,55.208048,64.277941
1792.000000,1792.000000,1792.000000,77.513270,73.943582
1920.000000,1920.000000,1920.000000,72.757892,72.757892
2048.000000,2048.000000,2048.000000,72.300977,70.789941
2176.000000,2176.000000,2176.000000,72.127771,79.226957
2304.000000,2304.000000,2304.000000,80.975836,79.892547
2432.000000,2432.000000,2432.000000,80.269900,77.395218
2560.000000,2560.000000,2560.000000,80.709358,79.533982
2688.000000,2688.000000,2688.000000,73.943578,77.572712
2816.000000,2816.000000,2816.000000,80.455104,80.916902
2944.000000,2944.000000,2944.000000,81.715156,78.235527
3072.000000,3072.000000,3072.000000,81.355034,82.301023
3200.000000,3200.000000,3200.000000,82.369741,80.301128
3328.000000,3328.000000,3328.000000,69.289024,77.613418
3456.000000,3456.000000,3456.000000,75.276907,81.369143
3584.000000,3584.000000,3584.000000,79.853815,79.995904
3712.000000,3712.000000,3712.000000,71.813699,78.228151
3840.000000,3840.000000,3840.000000,76.741711,82.754248
3968.000000,3968.000000,3968.000000,81.785483,81.186915
4096.000000,4096.000000,4096.000000,75.360878,79.973324
