M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,5.461333,5.405031
384.000000,384.000000,384.000000,13.824000,15.188601
512.000000,512.000000,512.000000,29.127110,29.127110
640.000000,640.000000,640.000000,25.600001,32.000000
768.000000,768.000000,768.000000,49.151998,49.151998
896.000000,896.000000,896.000000,42.573575,49.787038
1024.000000,1024.000000,1024.000000,56.679781,53.773130
1152.000000,1152.000000,1152.000000,71.147795,69.441488
1280.000000,1280.000000,1280.000000,74.219708,63.015384
1408.000000,1408.000000,1408.000000,73.672645,72.690343
1536.000000,1536.000000,1536.000000,70.078101,68.056616
1664.000000,1664.000000,1664.000000,55.548841,64.740376
1792.000000,1792.000000,1792.000000,77.513270,74.433271
1920.000000,1920.000000,1920.000000,73.142858,73.142858
2048.000000,2048.000000,2048.000000,72.315584,71.089896
2176.000000,2176.000000,2176.000000,72.387225,79.226957
2304.000000,2304.000000,2304.000000,80.975836,79.892547
2432.000000,2432.000000,2432.000000,80.269900,77.395218
2560.000000,2560.000000,2560.000000,80.908642,79.727497
2688.000000,2688.000000,2688.000000,74.232988,77.891283
2816.000000,2816.000000,2816.000000,80.320825,81.067298
2944.000000,2944.000000,2944.000000,81.832567,78.979452
3072.000000,3072.000000,3072.000000,81.707223,82.544731
3200.000000,3200.000000,3200.000000,82.474230,80.301128
3328.000000,3328.000000,3328.000000,69.289024,77.243880
3456.000000,3456.000000,3456.000000,75.479524,81.600781
3584.000000,3584.000000,3584.000000,79.995904,79.995904
3712.000000,3712.000000,3712.000000,71.868593,78.166939
3840.000000,3840.000000,3840.000000,76.252267,82.224536
3968.000000,3968.000000,3968.000000,81.403559,81.213932
4096.000000,4096.000000,4096.000000,74.773106,79.502567
